
활성 연결

  프로토콜  로컬 주소              외부 주소              상태            PID
  TCP    [::1]:3306             [::1]:58375            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58376            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58377            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58378            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58380            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58381            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58382            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58383            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58385            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58387            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58392            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58393            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58395            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58397            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58398            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58399            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58400            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58401            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58402            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58403            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58404            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58405            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58406            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58407            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58408            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58409            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58410            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58411            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58412            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58413            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58414            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58415            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58416            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58417            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58418            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58419            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58420            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58421            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58422            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58423            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58424            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58425            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58426            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58427            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58428            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58429            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58430            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58431            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58432            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58433            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58434            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58435            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58436            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58437            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58438            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58439            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58440            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58441            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58442            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58443            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58444            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58445            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58446            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58447            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58448            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58449            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58450            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58451            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58452            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58453            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58454            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58455            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58456            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58458            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58460            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58461            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58462            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58464            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58467            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58468            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58469            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58471            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58472            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58473            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58474            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58475            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58476            TIME_WAIT       0
